player,AB,R,H,HR,RBI,BB,K,SB,AVG,OBP,SLG
Aaron Judge,559,122,180,58,144,133,171,10,.322,.458,.701
Shohei Ohtani,636,134,197,54,130,81,162,59,.310,.390,.646
Juan Soto,576,128,166,41,109,129,119,7,.288,.419,.569
Bobby Witt,636,125,211,32,109,57,106,31,.332,.389,.588
Yordan Alvarez,552,88,170,35,86,69,95,6,.308,.392,.567
Vladimir Guerrero,616,98,199,30,103,72,96,2,.323,.396,.544
Ketel Marte,504,93,147,36,95,65,106,7,.292,.372,.560
Brent Rooker,546,82,160,39,112,59,177,11,.293,.365,.562
Marcell Ozuna,606,96,183,39,104,74,170,1,.302,.378,.546
Bryce Harper,550,85,157,30,87,76,138,7,.285,.373,.525
Gunnar Henderson,630,118,177,37,92,78,159,21,.281,.364,.529
José Ramírez,620,114,173,39,118,54,82,41,.279,.335,.537
Rafael Devers,525,87,143,28,83,67,147,3,.272,.354,.516
Corey Seager,475,68,132,30,74,53,96,1,.278,.353,.512
Mookie Betts,450,75,130,19,75,61,57,16,.289,.372,.491
Freddie Freeman,542,81,153,22,89,78,100,9,.282,.378,.476
Kyle Schwarber,573,110,142,38,104,106,197,5,.248,.366,.485
Seiya Suzuki,512,74,145,21,73,63,160,16,.283,.366,.482
Francisco Lindor,618,107,169,33,91,56,127,29,.273,.344,.500
Teoscar Hernández,589,84,160,33,99,53,188,12,.272,.339,.501
Jurickson Profar,564,94,158,24,85,76,101,10,.280,.380,.459
Jarren Duran,671,111,191,21,75,54,160,34,.285,.342,.492
William Contreras,595,99,167,23,92,78,139,9,.281,.365,.466
Riley Greene,512,82,134,24,74,64,156,4,.262,.348,.479
Jackson Merrill,554,77,162,24,90,29,101,16,.292,.326,.500
Anthony Santander,595,91,140,44,102,58,129,2,.235,.308,.506
Elly De La Cruz,618,105,160,25,76,69,218,67,.259,.339,.471
Trea Turner,505,88,149,21,62,27,98,19,.295,.338,.469
Christian Walker,479,72,120,26,84,55,133,2,.251,.335,.468
Manny Machado,593,77,163,29,105,45,124,11,.275,.325,.472
Willy Adames,610,93,153,32,112,74,173,21,.251,.331,.462
Steven Kwan,480,83,140,14,44,53,51,12,.292,.368,.425
Matt Chapman,575,98,142,27,78,64,158,15,.247,.328,.463
Jackson Chourio,528,80,145,21,79,39,121,22,.275,.327,.464
Heliot Ramos,475,54,128,22,72,37,135,6,.269,.322,.469
Bryan Reynolds,622,73,171,24,88,57,156,10,.275,.344,.447
Matt Olson,600,78,148,29,98,71,170,0,.247,.333,.457
Jose Altuve,628,94,185,20,65,47,119,22,.295,.350,.439
Pete Alonso,608,91,146,34,88,70,172,3,.240,.329,.459
Eugenio Suárez,571,90,146,30,101,49,176,2,.256,.319,.469
Salvador Perez,590,58,160,27,104,44,129,0,.271,.330,.456
Ian Happ,569,89,138,25,86,80,168,13,.243,.341,.441
Tyler Stephenson,457,69,118,19,66,48,117,1,.258,.338,.444
Alec Bohm,554,62,155,15,97,40,86,5,.280,.332,.448
Jorge Soler,493,84,119,21,64,68,141,1,.241,.338,.442
Josh Naylor,563,84,137,31,108,58,105,6,.243,.320,.456
Michael Busch,496,73,123,21,65,63,162,2,.248,.335,.440
Oneil Cruz,541,72,140,21,76,51,181,22,.259,.324,.449
Alex Bregman,581,79,151,26,75,44,86,3,.260,.315,.453
Colton Cowser,499,77,121,24,69,52,172,9,.242,.321,.447
Yainer Diaz,585,70,175,16,84,24,107,2,.299,.325,.441
Jesse Winker,430,63,109,14,58,63,106,14,.253,.360,.405
Ezequiel Tovar,655,83,176,26,78,23,200,6,.269,.295,.469
Brenton Doyle,542,82,141,23,72,46,153,30,.260,.317,.446
Luis García,500,58,141,18,70,27,86,22,.282,.318,.444
Nathaniel Lowe,486,62,129,16,69,71,125,2,.265,.361,.401
JJ Bleday,572,74,139,20,60,67,125,2,.243,.324,.437
Jake Burger,535,68,134,29,76,31,150,1,.250,.301,.460
Zach Neto,542,70,135,23,77,39,140,30,.249,.318,.443
Vinnie Pasquantino,496,64,130,19,97,40,71,1,.262,.315,.446
Jazz Chisholm,562,74,144,24,73,53,152,40,.256,.324,.436
Will Smith,476,77,118,20,75,51,105,1,.248,.327,.433
Brendan Donovan,587,65,163,14,73,47,81,5,.278,.342,.417
Lourdes Gurriel,513,72,143,18,75,29,101,7,.279,.322,.435
Yandy Díaz,563,55,158,14,65,50,95,0,.281,.341,.414
Cody Bellinger,516,72,137,18,78,45,89,9,.266,.325,.426
Corbin Carroll,589,121,136,22,74,73,130,35,.231,.322,.428
Jonathan India,533,84,132,15,58,80,125,13,.248,.357,.392
Taylor Ward,585,73,144,25,75,63,163,6,.246,.323,.426
Cal Raleigh,546,73,120,34,100,70,176,6,.220,.312,.436
Carlos Santana,521,63,124,23,71,65,99,4,.238,.328,.420
CJ Abrams,541,79,133,20,65,40,128,31,.246,.314,.433
Nick Castellanos,606,80,154,23,86,41,139,6,.254,.311,.431
Wyatt Langford,499,74,126,16,74,51,115,19,.253,.325,.415
Andrew McCutchen,448,66,104,20,50,58,133,3,.232,.328,.411
Isaac Paredes,542,64,129,19,80,76,105,1,.238,.346,.393
Luis Arraez,637,83,200,4,46,24,29,9,.314,.346,.392
Shea Langeliers,482,58,108,29,80,41,145,4,.224,.288,.450
Justin Turner,460,59,119,11,55,59,95,0,.259,.354,.383
Matt Vierling,518,80,133,16,57,41,121,6,.257,.312,.423
Alec Burleson,547,71,147,21,78,35,76,9,.269,.314,.420
Julio Rodríguez,567,76,155,20,68,38,156,24,.273,.325,.409
Ryan Mountcastle,473,54,128,13,63,27,114,3,.271,.308,.425
Josh Smith,523,67,135,13,62,46,121,11,.258,.337,.394
Jesús Sánchez,489,60,123,18,64,41,140,16,.252,.313,.417
Masyn Winn,587,85,157,15,57,41,109,11,.267,.314,.416
Joey Ortiz,440,58,105,11,60,56,103,11,.239,.329,.398
Brandon Nimmo,571,88,128,23,90,77,158,15,.224,.327,.399
Josh Bell,538,62,134,19,71,51,120,0,.249,.319,.405
Rhys Hoskins,449,59,96,26,82,53,149,3,.214,.303,.419
Ryan McMahon,567,68,137,20,65,69,185,4,.242,.325,.397
Brendan Rodgers,501,67,134,13,54,31,132,1,.267,.314,.407
Spencer Steer,574,74,129,20,92,72,137,25,.225,.319,.402
Randy Arozarena,549,77,120,20,60,73,169,20,.219,.332,.388
Nolan Arenado,578,70,157,16,71,44,92,2,.272,.325,.394
Willi Castro,558,89,138,12,60,51,150,14,.247,.331,.385
Paul Goldschmidt,599,70,147,22,65,47,173,11,.245,.302,.414
Jake Cronenworth,577,72,139,17,83,61,118,5,.241,.324,.390
Logan O'Hoppe,479,64,117,20,56,33,155,2,.244,.303,.409
Adley Rutschman,571,68,143,19,79,58,103,1,.250,.318,.391
Lane Thomas,472,65,112,15,63,44,137,32,.237,.309,.400
Nico Hoerner,582,86,159,7,48,44,66,31,.273,.335,.373
Gleyber Torres,587,80,151,15,63,65,136,4,.257,.330,.378
Nolan Schanuel,519,62,130,13,54,68,103,10,.250,.343,.362
Jeremy Peña,602,78,160,15,70,25,111,20,.266,.308,.394
Dansby Swanson,534,82,129,16,66,54,144,19,.242,.312,.390
Daulton Varsho,459,73,98,18,58,48,137,10,.214,.293,.407
Marcus Semien,650,101,154,23,74,64,105,8,.237,.308,.391
Andrew Vaughn,570,55,140,19,70,38,132,2,.246,.297,.402
Colt Keith,516,54,134,13,61,36,110,7,.260,.309,.380
Andrew Benintendi,477,50,109,20,64,41,96,3,.229,.289,.396
Adolis García,580,68,130,25,85,45,177,11,.224,.284,.400
George Springer,545,74,120,19,56,60,115,16,.220,.303,.371
Bryson Stott,506,65,124,11,57,53,93,32,.245,.315,.356
Ty France,479,46,112,13,51,38,114,1,.234,.305,.365
Brice Turang,559,72,142,7,57,50,105,50,.254,.316,.349
Ceddanne Rafaela,544,70,134,15,75,15,151,19,.246,.274,.390
Anthony Volpe,637,90,155,12,60,42,156,28,.243,.293,.364
Bryan De La Cruz,584,61,136,21,68,29,170,5,.233,.271,.384
Sal Frelick,475,66,123,2,32,39,78,18,.259,.320,.335
Alex Verdugo,559,74,130,13,61,49,93,2,.233,.291,.356
Jacob Young,468,75,120,3,36,30,102,33,.256,.316,.331
Jake Meyers,461,51,101,13,61,35,117,11,.219,.286,.360
Leody Taveras,480,59,110,12,44,42,112,23,.229,.289,.352
Andrés Giménez,583,64,147,9,63,26,97,30,.252,.298,.340
Christopher Morel,535,56,105,21,60,61,159,8,.196,.288,.346
Zack Gelof,497,60,105,17,49,38,188,25,.211,.270,.362
Orlando Arcia,551,50,120,17,46,41,128,2,.218,.271,.354
Maikel Garcia,575,84,133,7,58,42,103,37,.231,.281,.332
